roi_name,slot_id,status,occlusion_ratio,slot_x1_global,slot_y1_global,slot_x2_global,slot_y2_global
bottom_row,34,VISIBLE,0.12076023391812865,2652,1877,2712,2333
bottom_row,35,VISIBLE,0.2661549707602339,2712,1877,2772,2333
bottom_row,36,VISIBLE,0.21038011695906433,2772,1877,2832,2333
bottom_row,37,VISIBLE,0.11747076023391813,2832,1877,2892,2333
bottom_row,38,VISIBLE,0.0391812865497076,2892,1877,2952,2333
bottom_row,39,VISIBLE,0.031834795321637424,2952,1877,3012,2333
bottom_row,40,VISIBLE,0.03519736842105263,3012,1877,3072,2333
bottom_row,41,VISIBLE,0.0004385964912280702,3072,1877,3132,2333
bottom_row,42,VISIBLE,0.0,3132,1877,3192,2333
bottom_row,43,VISIBLE,0.0,3192,1877,3252,2333
bottom_row,44,VISIBLE,0.00222953216374269,3252,1877,3312,2333
bottom_row,45,VISIBLE,0.0,3312,1877,3372,2333
bottom_row,46,VISIBLE,0.0427266081871345,3372,1877,3432,2333
bottom_row,47,VISIBLE,0.016228070175438595,3432,1877,3492,2333
bottom_row,48,VISIBLE,0.0,3492,1877,3552,2333
bottom_row,49,VISIBLE,0.008625730994152047,3552,1877,3612,2333
bottom_row,50,VISIBLE,0.06955409356725147,3612,1877,3672,2333
bottom_row,51,VISIBLE,0.048647660818713453,3672,1877,3732,2333
bottom_row,52,VISIBLE,0.020285087719298246,3732,1877,3792,2333
bottom_row,53,VISIBLE,0.006323099415204678,3792,1877,3852,2333
bottom_row,54,VISIBLE,0.00712719298245614,3852,1877,3912,2333
bottom_row,55,VISIBLE,0.029093567251461987,3912,1877,3972,2333
bottom_row,56,VISIBLE,0.021308479532163742,3972,1877,4032,2333
bottom_row,57,VISIBLE,0.08819444444444445,4032,1877,4092,2333
right_row,1,VISIBLE,0.08055555555555556,3605,1996,3665,2326
right_row,2,VISIBLE,0.07858585858585859,3665,1996,3725,2326
right_row,3,VISIBLE,0.02666666666666667,3725,1996,3785,2326
right_row,4,VISIBLE,0.007272727272727273,3785,1996,3845,2326
right_row,5,VISIBLE,0.013535353535353536,3845,1996,3905,2326
right_row,6,VISIBLE,0.032878787878787875,3905,1996,3965,2326
right_row,7,VISIBLE,0.03570707070707071,3965,1996,4025,2326
right_row,8,VISIBLE,0.09730639730639731,4025,1996,4088,2326
